"","target","Gender","EngineHP","credit_history","Years_Experience","annual_claims","Marital_Status","Vehical_type","Miles_driven_annually","size_of_family","Age_bucket","credit_history_bucket","State"
"17267",1,"M",93,691,10,0,"Married","Truck",6957,6,">40","Good","OR"
"17268",0,"F",206,630,5,0,"Single","Truck",11880,6,"35-40","Fair","NJ"
"17269",0,"F",437,698,7,1,"Married","Car",19490,3,"18-27","Good","OH"
"17270",0,"M",500,712,4,3,"Married","Car",12912,2,"18-27","Good","OK"
"17271",1,"M",142,468,4,2,"Single","Car",10367,8,"18-27","Very Poor","IL"
"17272",1,"M",459,319,2,3,"Married","Car",13451,4,"18-27","Very Poor","NY"
"17273",1,"F",146,723,39,1,"Single","Car",11341,2,">40","Good","CT"
"17274",1,"M",130,728,22,1,"Married","Truck",10098,2,">40","Good","SC"
"17275",1,"M",139,689,18,0,"Married","Van",13334,7,"35-40","Good","NY"
"17276",1,"M",159,678,17,0,"Married","Van",10299,2,"28-34","Good","ID"
"17277",0,"F",117,710,24,0,"Married","Truck",7241,2,">40","Good","NJ"
"17278",1,"M",112,766,18,1,"Married","Truck",10819,5,">40","Very Good","IN"
"17279",1,"M",160,766,33,0,"Single","Utility",5130,8,">40","Very Good","SD"
"17280",0,"F",81,789,32,0,"Married","Car",5831,5,">40","Very Good","NH"
"17281",1,"F",121,772,25,0,"Married","Car",14976,6,">40","Very Good","NY"
"17282",0,"F",430,672,6,3,"Single","Truck",11354,1,"35-40","Good","OR"
"17283",0,"M",159,722,25,1,"Married","Van",12694,7,">40","Good","NY"
"17284",1,"F",256,819,7,3,"Single","Truck",22715,8,"35-40","Exceptional","WY"
"17285",1,"M",100,675,20,1,"Married","Van",9548,6,">40","Good","WV"
"17286",0,"M",96,757,32,1,"Married","Van",10729,6,">40","Very Good","OR"
"17287",0,"F",126,697,32,0,"Married","Car",10827,6,">40","Good","OR"
"17288",1,"M",97,823,28,1,"Single","Utility",10897,3,">40","Exceptional","NC"
"17289",1,"F",135,738,13,0,"Married","Car",13674,3,">40","Good","CT"
"17290",1,"M",132,768,16,1,"Single","Utility",5125,8,"35-40","Very Good","CT"
"17291",0,"M",130,706,15,0,"Married","Truck",5826,8,">40","Good","VT"
"17292",1,"F",327,737,8,0,"Married","Car",33470,7,"18-27","Good","OH"
"17293",1,"F",125,720,23,2,"Married","Car",7301,7,">40","Good","NJ"
"17294",1,"F",129,704,15,0,"Married","Truck",11970,6,">40","Good","IL"
"17295",0,"M",112,793,16,1,"Married","Truck",10234,3,"28-34","Very Good","IN"
"17296",1,"F",125,672,14,1,"Married","Car",23166,3,"35-40","Good","VT"
"17297",1,"F",82,690,29,1,"Single","Car",11610,8,">40","Good","NJ"
"17298",0,"M",154,777,17,1,"Married","Utility",14262,3,">40","Very Good","AL"
"17299",1,"F",94,682,32,0,"Married","Car",12096,2,">40","Good","WV"
"17300",1,"F",399,362,6,2,"Single","Truck",21873,2,"35-40","Very Poor","NJ"
"17301",0,"M",180,667,1,2,"Single","Car",58130,6,"18-27","Fair","NY"
"17302",0,"F",137,727,15,0,"Married","Truck",10014,3,"35-40","Good","VT"
"17303",0,"F",456,631,7,3,"Single","Truck",23112,8,"35-40","Fair","RI"
"17304",1,"M",148,596,2,3,"Single","Car",98541,8,"18-27","Fair","OR"
"17305",0,"F",115,763,12,0,"Married","Car",5947,5,"35-40","Very Good","NY"
"17306",1,"M",144,799,12,0,"Married","Van",14036,2,">40","Very Good","NJ"
"17307",1,"M",160,327,8,4,"Married","Truck",11409,7,"35-40","Very Poor","VT"
"17308",0,"M",83,782,32,0,"Married","Van",13003,2,">40","Very Good","ID"
"17309",1,"M",356,645,3,1,"Married","Car",11349,3,"18-27","Fair","ID"
"17310",1,"F",147,675,17,1,"Married","Car",18670,8,">40","Good","NY"
"17311",1,"F",110,700,24,0,"Married","Car",10366,7,">40","Good","CO"
"17312",0,"F",145,714,7,1,"Married","Truck",38521,4,"28-34","Good","NY"
"17313",1,"F",122,745,18,1,"Married","Truck",10381,7,">40","Very Good","CT"
"17314",1,"F",144,756,20,1,"Married","Truck",14320,8,">40","Very Good","NY"
"17315",1,"M",192,615,5,3,"Single","Car",17348,7,"18-27","Fair","MS"
"17316",1,"F",83,782,14,1,"Married","Car",17562,1,"28-34","Very Good","RI"
"17317",0,"F",89,775,17,1,"Married","Truck",14941,1,">40","Very Good","OR"
"17318",1,"M",127,785,30,1,"Single","Utility",12020,8,">40","Very Good","IN"
"17319",1,"M",122,724,18,1,"Married","Utility",12176,7,"35-40","Good","CT"
"17320",1,"M",450,736,4,2,"Single","Utility",12793,2,"18-27","Good","PA"
"17321",1,"M",517,592,2,0,"Married","Van",5072,1,"18-27","Fair","IA"
"17322",0,"M",302,404,2,3,"Married","Car",10104,7,"18-27","Very Poor","NJ"
"17323",1,"F",110,729,13,1,"Single","Car",5023,3,">40","Good","CT"
"17324",1,"M",160,697,5,0,"Married","Utility",83697,4,"28-34","Good","NJ"
"17325",1,"M",142,664,3,2,"Single","Car",84612,3,"18-27","Fair","WI"
"17326",1,"M",151,791,38,0,"Married","Van",6535,1,">40","Very Good","NY"
"17327",1,"M",149,738,3,4,"Single","Utility",7472,4,"<18","Good","LA"
"17328",1,"F",141,797,11,1,"Married","Truck",11493,5,">40","Very Good","NJ"
"17329",1,"F",131,702,24,0,"Married","Car",9370,3,">40","Good","OR"
"17330",0,"F",156,782,23,1,"Married","Car",9946,8,">40","Very Good","HI"
"17331",0,"F",146,535,8,3,"Single","Van",12433,4,"35-40","Very Poor","OR"
"17332",1,"M",143,792,24,0,"Married","Van",9725,2,">40","Very Good","VT"
"17333",1,"F",88,747,16,0,"Married","Truck",20261,3,">40","Very Good","MO"
"17334",0,"F",86,685,14,0,"Married","Car",42375,8,"35-40","Good","GA"
"17335",0,"F",91,692,13,0,"Married","Car",9147,8,"28-34","Good","CO"
"17336",1,"F",152,708,17,0,"Married","Car",9123,2,"28-34","Good","NJ"
"17337",1,"M",112,693,4,3,"Single","Car",12270,1,"18-27","Good","CT"
"17338",1,"F",263,657,5,2,"Single","Truck",23454,5,"35-40","Fair","CT"
"17339",1,"F",136,686,21,0,"Married","Car",15415,8,">40","Good","NJ"
"17340",1,"F",275,656,7,0,"Single","Truck",10688,7,"35-40","Fair","NY"
"17341",0,"M",179,719,5,3,"Single","Car",10638,1,"18-27","Good","CT"
"17342",1,"F",132,592,7,2,"Single","Van",49071,7,"35-40","Fair","NJ"
"17343",1,"M",121,778,22,1,"Single","Utility",10549,6,">40","Very Good","NY"
"17344",1,"F",289,464,6,2,"Single","Truck",13132,8,"35-40","Very Poor","UT"
"17345",0,"M",154,712,14,1,"Married","Van",13046,3,">40","Good","NJ"
"17346",1,"F",102,672,34,1,"Married","Car",14269,1,">40","Good","CO"
"17347",0,"F",287,587,5,0,"Single","Truck",10442,8,"35-40","Fair","CT"
"17348",1,"F",304,685,5,3,"Single","Truck",10230,7,"35-40","Good","CT"
"17349",1,"F",104,674,19,1,"Single","Car",13114,4,">40","Good","NJ"
"17350",0,"M",87,847,18,4,"Single","Utility",13578,3,"35-40","Exceptional","NJ"
"17351",0,"F",154,714,7,2,"Single","Van",11919,1,"35-40","Good","UT"
"17352",1,"F",84,790,2,1,"Married","Car",18723,2,"18-27","Very Good","CT"
"17353",1,"F",127,739,6,1,"Married","Car",64181,3,"18-27","Good","MS"
"17354",0,"M",297,476,3,1,"Married","Car",11598,4,"18-27","Very Poor","NY"
"17355",1,"M",97,697,13,0,"Married","Truck",9654,5,"35-40","Good","NJ"
"17356",1,"F",124,714,18,0,"Married","Car",13966,5,"35-40","Good","OR"
"17357",1,"M",86,723,14,0,"Married","Van",70135,4,">40","Good","NE"
"17358",0,"M",93,745,25,1,"Married","Utility",11203,3,">40","Very Good","NY"
"17359",0,"M",159,754,18,0,"Married","Van",6895,2,"35-40","Very Good","CT"
"17360",1,"M",261,825,4,3,"Single","Utility",17753,3,"18-27","Exceptional","PA"
"17361",1,"M",255,659,5,2,"Married","Car",22314,7,"18-27","Fair","NY"
"17362",1,"M",148,773,21,0,"Married","Van",12724,3,">40","Very Good","NY"
"17363",1,"F",145,715,6,1,"Married","Car",61352,5,"28-34","Good","KS"
"17364",1,"M",262,311,3,3,"Married","Car",11593,3,"18-27","Very Poor","CT"
"17365",1,"M",137,741,16,1,"Married","Van",6148,1,"35-40","Very Good","WA"
"17366",1,"M",135,751,14,0,"Single","Utility",8112,6,"28-34","Very Good","NY"
"17367",1,"F",374,593,5,3,"Single","Truck",10280,3,"35-40","Fair","KY"
"17368",1,"M",130,705,17,0,"Married","Van",10742,3,">40","Good","NY"
"17369",1,"M",433,433,2,3,"Single","Utility",14747,2,"18-27","Very Poor","AR"
"17370",1,"M",96,806,2,3,"Single","Car",11959,1,"18-27","Exceptional","TX"
"17371",1,"F",887,598,3,1,"Single","Car",13371,3,"<18","Fair","CT"
"17372",1,"M",122,781,14,0,"Married","Utility",8167,8,">40","Very Good","CT"
"17373",0,"M",138,713,24,1,"Married","Truck",7811,2,">40","Good","NY"
"17374",1,"F",453,685,16,0,"Married","Car",7413,5,">40","Good","CT"
"17375",1,"M",481,331,1,2,"Single","Car",11053,1,"18-27","Very Poor","NY"
"17376",0,"F",140,773,36,1,"Single","Car",8346,1,">40","Very Good","NJ"
"17377",1,"M",153,411,2,3,"Single","Car",12959,7,"18-27","Very Poor","CT"
"17378",1,"M",365,443,1,3,"Married","Car",14423,5,"18-27","Very Poor","OR"
"17379",1,"F",108,758,16,1,"Single","Car",11941,7,">40","Very Good","GA"
"17380",1,"F",83,772,24,0,"Married","Truck",8402,5,">40","Very Good","MD"
"17381",1,"M",106,723,2,2,"Single","Car",21571,7,"18-27","Good","NY"
"17382",1,"F",343,673,5,3,"Single","Truck",13811,2,"35-40","Good","NJ"
"17383",0,"M",90,737,16,0,"Married","Truck",12035,2,">40","Good","CT"
"17384",1,"M",340,610,5,0,"Married","Car",12262,7,"18-27","Fair","WV"
"17385",0,"M",104,712,38,0,"Married","Van",13314,2,">40","Good","NY"
"17386",1,"M",157,688,13,0,"Married","Car",8341,3,">40","Good","CT"
"17387",1,"F",189,597,6,1,"Single","Van",13172,3,"35-40","Fair","VT"
"17388",0,"M",107,706,20,1,"Married","Van",9421,7,">40","Good","NY"
"17389",1,"F",355,582,8,3,"Single","Van",10276,5,"35-40","Fair","AZ"
"17390",1,"F",461,612,6,3,"Single","Truck",13688,7,"35-40","Fair","VA"
"17391",1,"M",121,788,33,0,"Married","Van",6807,1,">40","Very Good","IL"
"17392",1,"M",158,739,18,1,"Married","Van",12835,2,">40","Good","CT"
"17393",1,"F",126,711,21,1,"Married","Truck",10349,2,">40","Good","ID"
"17394",1,"F",339,441,6,2,"Single","Truck",11101,3,"35-40","Very Poor","WV"
"17395",1,"M",107,739,34,1,"Married","Utility",12149,5,">40","Good","OR"
"17396",1,"M",110,598,1,3,"Single","Car",55896,3,"18-27","Fair","OR"
"17397",1,"F",158,679,24,0,"Single","Car",11987,7,">40","Good","HI"
"17398",1,"M",377,687,3,1,"Married","Car",12799,5,"18-27","Good","OR"
"17399",1,"M",156,790,10,0,"Married","Van",5214,2,">40","Very Good","OR"
"17400",0,"M",103,767,24,1,"Married","Van",10169,1,">40","Very Good","NY"
"17401",1,"M",143,582,2,3,"Married","Truck",41630,5,">40","Fair","NJ"
"17402",1,"M",80,732,22,0,"Married","Van",10425,3,">40","Good","CT"
"17403",1,"F",162,411,5,3,"Single","Van",11184,3,"35-40","Very Poor","OR"
"17404",1,"M",243,688,1,1,"Married","Car",24527,7,"18-27","Good","PA"
"17405",1,"F",148,675,21,2,"Married","Car",10686,2,">40","Good","NE"
"17406",1,"M",601,629,2,1,"Married","Truck",12916,2,"<18","Fair","IL"
"17407",0,"M",236,677,8,0,"Married","Van",48026,7,"18-27","Good","NJ"
"17408",0,"F",295,601,6,2,"Single","Truck",22849,3,"35-40","Fair","OR"
"17409",1,"F",284,687,6,0,"Married","Car",59638,4,"18-27","Good","NH"
"17410",1,"M",234,693,1,1,"Married","Car",12462,6,"18-27","Good","NY"
"17411",1,"M",96,737,18,1,"Married","Van",11811,3,">40","Good","CT"
"17412",0,"F",104,713,7,3,"Single","Van",13971,6,"35-40","Good","NJ"
"17413",1,"M",95,674,26,0,"Married","Van",9238,5,">40","Good","CA"
"17414",1,"M",102,773,35,0,"Married","Utility",11389,4,">40","Very Good","OR"
"17415",0,"M",153,762,10,0,"Married","Van",6454,6,"18-27","Very Good","CT"
"17416",0,"M",82,778,18,1,"Married","Truck",5918,2,"35-40","Very Good","NY"
"17417",1,"M",105,719,19,0,"Married","Van",12602,3,">40","Good","NJ"
"17418",1,"F",122,799,25,1,"Married","Car",14977,6,">40","Very Good","OR"
"17419",1,"F",117,745,13,0,"Married","Car",13955,4,">40","Very Good","MA"
"17420",1,"F",100,693,15,0,"Single","Car",12129,5,"35-40","Good","NE"
"17421",1,"F",174,721,7,2,"Single","Truck",13058,7,"35-40","Good","CO"
"17422",0,"F",463,730,7,2,"Single","Truck",13211,3,"35-40","Good","NJ"
"17423",1,"F",152,732,24,0,"Married","Truck",8701,3,">40","Good","SC"
"17424",1,"M",87,530,5,1,"Married","Van",61881,4,"<18","Very Poor","NJ"
"17425",0,"F",122,682,28,0,"Married","Truck",6295,6,">40","Good","CT"
"17426",1,"M",145,775,17,0,"Married","Truck",7730,1,">40","Very Good","NV"
"17427",1,"M",111,704,18,0,"Married","Van",14499,7,">40","Good","NY"
"17428",1,"M",672,624,1,1,"Married","Van",5759,1,"18-27","Fair","OR"
"17429",1,"F",202,723,6,1,"Married","Car",26088,4,"18-27","Good","MO"
"17430",1,"M",84,786,11,1,"Married","Utility",11352,4,">40","Very Good","OR"
"17431",1,"F",130,764,18,0,"Single","Car",7014,4,">40","Very Good","VT"
"17432",0,"M",159,756,25,0,"Single","Utility",7091,3,">40","Very Good","OR"
"17433",1,"F",516,685,25,0,"Married","Car",16504,6,">40","Good","NY"
"17434",1,"M",374,716,2,2,"Single","Car",11965,5,"18-27","Good","IL"
"17435",0,"M",150,674,22,1,"Married","Van",14288,2,">40","Good","OH"
"17436",1,"M",156,704,6,0,"Married","Van",78320,7,"28-34","Good","OR"
"17437",1,"F",222,563,2,1,"Married","Truck",88949,4,"<18","Very Poor","NJ"
"17438",1,"M",247,520,1,0,"Married","Truck",73797,5,"<18","Very Poor","CT"
"17439",0,"M",313,716,5,0,"Married","Car",10665,1,"18-27","Good","NJ"
"17440",0,"F",197,637,5,2,"Single","Van",19205,1,"35-40","Fair","VT"
"17441",1,"F",118,685,5,1,"Married","Truck",46081,6,"18-27","Good","OR"
"17442",0,"F",123,740,20,0,"Married","Truck",15673,7,">40","Very Good","OR"
"17443",1,"F",84,747,24,0,"Married","Car",10081,6,">40","Very Good","NJ"
"17444",1,"M",108,710,27,0,"Married","Utility",14793,8,">40","Good","NJ"
"17445",0,"F",202,727,6,0,"Married","Car",89814,8,"18-27","Good","OR"
"17446",0,"M",116,679,16,0,"Married","Van",12627,3,">40","Good","NY"
"17447",1,"F",142,741,22,1,"Married","Truck",9785,1,">40","Very Good","OR"
"17448",0,"F",179,692,6,3,"Single","Van",14371,5,"35-40","Good","CT"
"17449",0,"M",188,320,2,3,"Single","Car",18175,1,"18-27","Very Poor","NY"
"17450",0,"F",116,684,15,1,"Married","Truck",6183,4,">40","Good","FL"
"17451",1,"F",266,841,7,3,"Single","Truck",18345,4,"35-40","Exceptional","NH"
"17452",1,"M",91,637,4,3,"Single","Car",32821,3,"18-27","Fair","MD"
"17453",0,"M",80,695,19,1,"Married","Van",11581,3,">40","Good","NJ"
"17454",0,"M",372,325,3,2,"Married","Car",14289,6,"18-27","Very Poor","NY"
"17455",0,"F",146,677,13,0,"Married","Car",6482,4,"28-34","Good","CT"
"17456",1,"F",131,691,23,1,"Married","Car",7511,5,">40","Good","KY"
"17457",0,"M",134,747,12,0,"Single","Utility",11966,8,"35-40","Very Good","OR"
"17458",1,"M",118,734,19,1,"Married","Van",12973,5,">40","Good","ME"
"17459",0,"F",142,692,17,0,"Married","Car",9916,4,">40","Good","CT"
"17460",1,"F",88,750,14,1,"Married","Car",24969,8,">40","Very Good","ID"
"17461",1,"F",137,755,16,0,"Married","Truck",13152,8,">40","Very Good","NJ"
"17462",1,"F",195,724,8,0,"Married","Car",91244,4,"18-27","Good","WV"
"17463",0,"F",111,756,19,1,"Married","Car",6831,8,"35-40","Very Good","OR"
"17464",1,"M",121,762,15,1,"Single","Utility",9585,4,">40","Very Good","VT"
"17465",1,"F",242,694,8,2,"Single","Truck",10764,3,"35-40","Good","NJ"
"17466",0,"F",109,369,6,3,"Single","Van",12854,1,"35-40","Very Poor","CT"
"17467",1,"M",133,695,15,0,"Married","Truck",7832,6,"28-34","Good","NJ"
"17468",0,"F",367,725,5,3,"Single","Truck",10817,6,"35-40","Good","NJ"
"17469",0,"M",193,563,7,4,"Married","Truck",10002,2,"35-40","Very Poor","NJ"
"17470",1,"M",109,755,13,4,"Single","Utility",8026,3,">40","Very Good","MA"
"17471",1,"M",159,706,9,0,"Single","Utility",6205,7,"28-34","Good","OR"
"17472",0,"M",103,673,6,0,"Single","Utility",7250,8,"18-27","Good","IL"
"17473",0,"M",98,832,7,1,"Single","Utility",13368,7,"18-27","Exceptional","NJ"
"17474",1,"F",147,683,27,1,"Married","Car",10186,3,">40","Good","UT"
"17475",1,"M",567,639,1,0,"Married","Utility",5627,1,"<18","Fair","MN"
"17476",1,"M",125,704,29,0,"Married","Van",5184,2,">40","Good","KS"
"17477",0,"M",89,755,18,1,"Married","Van",12880,3,">40","Very Good","NJ"
"17478",1,"M",173,626,6,0,"Married","Truck",14849,8,"35-40","Fair","WI"
"17479",1,"M",123,639,13,2,"Married","Truck",11341,6,">40","Fair","NJ"
"17480",1,"M",120,711,16,1,"Married","Truck",14712,8,"28-34","Good","WA"
"17481",0,"M",146,771,27,0,"Married","Truck",10763,3,">40","Very Good","MN"
"17482",1,"F",272,589,5,1,"Single","Truck",12532,3,">40","Fair","WY"
"17483",1,"F",144,781,16,1,"Married","Car",20807,5,">40","Very Good","NY"
"17484",1,"M",104,725,9,1,"Married","Van",61695,7,"18-27","Good","NJ"
"17485",1,"F",374,693,5,2,"Single","Truck",10532,5,"35-40","Good","WA"
"17486",1,"F",159,724,13,0,"Married","Truck",26566,5,"28-34","Good","CT"
"17487",0,"M",286,685,8,0,"Married","Truck",25136,2,"18-27","Good","CT"
"17488",0,"M",107,744,21,0,"Married","Van",10126,1,">40","Very Good","AR"
"17489",1,"F",349,676,7,1,"Married","Car",55154,5,"18-27","Good","WV"
"17490",1,"M",276,629,5,0,"Married","Car",11730,4,"18-27","Fair","CT"
"17491",1,"M",124,389,5,3,"Single","Car",12387,5,"18-27","Very Poor","CT"
"17492",1,"M",101,732,26,1,"Married","Van",6866,5,">40","Good","OR"
"17493",0,"M",102,681,19,1,"Married","Van",11934,3,">40","Good","NY"
"17494",1,"F",128,741,25,0,"Married","Car",8042,2,">40","Very Good","NY"
"17495",0,"F",379,659,8,2,"Single","Truck",10365,6,"35-40","Fair","NY"
"17496",1,"M",323,720,4,1,"Married","Car",11112,2,"18-27","Good","NJ"
"17497",1,"M",148,790,17,1,"Married","Van",14508,2,">40","Very Good","KS"
"17498",1,"M",293,619,3,1,"Single","Utility",12604,8,"18-27","Fair","NJ"
"17499",0,"M",184,595,7,1,"Married","Truck",10931,2,"35-40","Fair","HI"
"17500",0,"F",489,643,1,1,"Married","Car",5086,3,"<18","Fair","MT"
"17501",1,"M",201,714,5,3,"Married","Car",13975,5,"18-27","Good","VT"
"17502",1,"F",579,724,26,1,"Married","Car",15328,8,">40","Good","NJ"
"17503",0,"F",92,766,9,0,"Married","Truck",8948,6,"18-27","Very Good","OR"
"17504",1,"F",146,677,10,1,"Married","Truck",10613,1,">40","Good","NJ"
"17505",0,"F",152,762,13,1,"Married","Car",18614,6,">40","Very Good","CT"
"17506",1,"M",89,819,15,0,"Single","Utility",8251,8,">40","Exceptional","VT"
"17507",1,"M",404,780,7,0,"Married","Van",7284,3,"18-27","Very Good","NJ"
"17508",0,"F",105,672,16,0,"Married","Car",8498,2,">40","Good","IN"
"17509",0,"M",96,724,18,1,"Married","Van",12000,7,">40","Good","NJ"
"17510",0,"F",235,642,6,1,"Single","Truck",12561,4,"35-40","Fair","OR"
"17511",1,"F",193,729,7,1,"Married","Car",69948,7,"18-27","Good","CT"
"17512",0,"F",92,692,34,1,"Married","Car",6180,5,">40","Good","KY"
"17513",1,"M",127,769,21,0,"Married","Van",5202,2,">40","Very Good","DE"
"17514",0,"M",116,799,40,0,"Married","Utility",5145,3,">40","Very Good","ID"
"17515",1,"F",458,673,7,2,"Single","Truck",11066,4,"35-40","Good","OK"
"17516",0,"F",326,633,6,1,"Single","Truck",14204,7,"35-40","Fair","AL"
"17517",1,"F",121,747,15,1,"Married","Car",8110,4,"35-40","Very Good","NY"
"17518",1,"F",89,671,7,0,"Married","Car",20568,5,"18-27","Good","NE"
"17519",1,"M",98,680,35,1,"Married","Van",6066,2,">40","Good","NM"
"17520",1,"M",278,605,4,1,"Single","Car",12889,2,"18-27","Fair","GA"
"17521",1,"F",377,728,12,1,"Married","Car",21884,3,"28-34","Good","NY"
"17522",1,"M",147,764,14,0,"Married","Van",9297,3,"35-40","Very Good","OR"
"17523",0,"F",123,722,11,0,"Married","Car",5887,8,">40","Good","HI"
"17524",0,"M",101,698,32,1,"Single","Utility",8241,4,">40","Good","MI"
"17525",1,"F",80,782,14,0,"Married","Car",6796,3,">40","Very Good","VT"
"17526",1,"M",148,758,36,0,"Married","Truck",5634,7,">40","Very Good","AR"
"17527",0,"M",246,658,2,2,"Married","Car",52569,4,"18-27","Fair","NY"
"17528",0,"M",89,727,27,0,"Single","Utility",8549,8,">40","Good","AK"
"17529",0,"F",160,703,17,1,"Single","Car",9228,4,"35-40","Good","CT"
"17530",1,"F",165,730,6,3,"Single","Van",13520,8,"35-40","Good","AZ"
"17531",0,"F",118,673,11,1,"Married","Car",6408,4,">40","Good","OR"
"17532",1,"F",114,674,18,1,"Married","Truck",9883,2,">40","Good","VT"
"17533",1,"M",213,655,5,1,"Married","Car",13265,8,"18-27","Fair","NV"
"17534",1,"M",283,596,1,3,"Married","Car",84236,8,"18-27","Fair","OR"
"17535",1,"F",416,758,3,1,"Single","Car",8884,3,"<18","Very Good","NY"
"17536",0,"M",149,734,19,1,"Married","Van",10564,7,">40","Good","OR"
"17537",1,"M",146,695,7,1,"Single","Utility",7033,8,"28-34","Good","OR"
"17538",1,"F",134,770,24,0,"Married","Truck",11566,7,">40","Very Good","TN"
"17539",1,"M",123,822,29,1,"Single","Utility",14417,3,">40","Exceptional","RI"
"17540",1,"M",103,781,32,1,"Married","Truck",9667,8,">40","Very Good","OR"
"17541",1,"M",434,601,1,0,"Married","Truck",6925,3,"18-27","Fair","DE"
"17542",1,"M",109,671,15,0,"Married","Utility",5443,7,"35-40","Good","SD"
"17543",1,"F",327,601,7,0,"Single","Truck",11193,1,"35-40","Fair","NY"
"17544",0,"M",160,844,1,2,"Single","Car",11813,2,"18-27","Exceptional","NJ"
"17545",1,"F",352,304,8,2,"Single","Utility",23853,6,"35-40","Very Poor","OR"
"17546",1,"M",329,520,4,2,"Single","Utility",11737,1,"18-27","Very Poor","CT"
"17547",1,"F",82,680,18,0,"Married","Truck",7080,6,"28-34","Good","CT"
"17548",0,"M",156,772,13,0,"Married","Truck",7549,1,"28-34","Very Good","MN"
"17549",0,"F",175,371,8,3,"Single","Van",12671,8,"35-40","Very Poor","MO"
"17550",0,"F",393,691,7,3,"Single","Utility",14294,7,"35-40","Good","IL"
"17551",1,"F",366,573,7,2,"Single","Truck",14383,1,"35-40","Very Poor","MS"
"17552",1,"F",363,651,8,2,"Single","Truck",11259,4,"35-40","Fair","NM"
"17553",1,"M",156,682,40,0,"Married","Van",13269,1,">40","Good","CT"
"17554",0,"F",373,452,6,3,"Single","Truck",14882,2,"35-40","Very Poor","CT"
"17555",1,"M",135,777,3,0,"Married","Truck",12168,7,"18-27","Very Good","NY"
"17556",1,"M",88,540,5,1,"Married","Van",79547,7,"28-34","Very Poor","VT"
"17557",1,"F",194,331,8,3,"Single","Van",12137,8,"35-40","Very Poor","KS"
"17558",1,"M",121,782,21,0,"Married","Van",14123,5,">40","Very Good","MT"
"17559",1,"F",590,736,18,1,"Married","Car",22738,4,"35-40","Good","CA"
"17560",0,"M",145,625,4,2,"Single","Car",95157,8,"18-27","Fair","NJ"
"17561",1,"M",129,758,4,1,"Married","Utility",10201,1,"18-27","Very Good","MA"
"17562",1,"M",175,827,1,3,"Single","Car",11830,8,"18-27","Exceptional","NV"
"17563",0,"F",124,726,25,1,"Married","Car",5020,3,">40","Good","OR"
"17564",1,"M",109,742,19,1,"Married","Van",12547,7,"28-34","Very Good","ME"
"17565",1,"F",321,698,3,3,"Single","Truck",14211,4,">40","Good","OR"
"17566",1,"F",152,687,25,0,"Married","Car",9979,6,">40","Good","NJ"
"17567",1,"F",156,759,25,3,"Married","Truck",12900,1,">40","Very Good","MA"
"17568",1,"M",160,742,9,1,"Married","Van",6507,1,"18-27","Very Good","NV"
"17569",0,"F",375,717,11,0,"Married","Car",16767,2,">40","Good","OR"
"17570",1,"M",198,640,4,1,"Single","Car",14910,8,"18-27","Fair","NY"
"17571",1,"M",93,679,17,0,"Married","Van",13876,3,">40","Good","OR"
"17572",1,"F",204,657,7,3,"Single","Truck",20483,3,"35-40","Fair","NJ"
"17573",1,"F",139,671,17,0,"Married","Truck",7491,7,">40","Good","IL"
"17574",0,"M",106,806,22,4,"Single","Utility",12278,4,">40","Exceptional","CT"
"17575",1,"M",142,679,5,2,"Married","Truck",10606,4,"35-40","Good","NY"
"17576",1,"F",450,494,5,2,"Single","Truck",11782,5,"35-40","Very Poor","OR"
"17577",1,"M",90,751,4,1,"Married","Truck",14646,4,"18-27","Very Good","MA"
"17578",1,"M",352,684,4,3,"Married","Car",12420,5,"18-27","Good","WY"
"17579",1,"M",465,711,2,3,"Single","Car",13654,2,"18-27","Good","CT"
"17580",1,"M",109,781,16,0,"Single","Utility",8785,8,">40","Very Good","OR"
"17581",1,"F",149,713,21,0,"Married","Car",7706,1,">40","Good","OH"
"17582",1,"M",134,681,1,1,"Married","Van",11853,1,"18-27","Good","CT"
"17583",0,"M",383,499,3,2,"Single","Car",12526,6,"18-27","Very Poor","OR"
"17584",0,"F",134,702,13,1,"Married","Truck",11630,3,"35-40","Good","DE"
"17585",1,"F",116,775,38,1,"Single","Car",5715,2,">40","Very Good","NJ"
"17586",1,"F",357,725,11,1,"Married","Truck",23113,5,">40","Good","AR"
"17587",0,"F",118,744,18,0,"Married","Truck",7199,7,"35-40","Very Good","NC"
"17588",1,"M",144,708,17,0,"Married","Truck",8632,2,">40","Good","IN"
"17589",0,"F",120,684,8,1,"Married","Car",72233,6,"28-34","Good","FL"
"17590",1,"F",105,775,12,0,"Married","Car",8012,2,">40","Very Good","NY"
"17591",1,"F",413,684,18,0,"Married","Car",15154,6,">40","Good","NJ"
"17592",1,"M",100,733,11,0,"Married","Van",6647,7,">40","Good","NY"
"17593",1,"F",94,745,13,1,"Married","Truck",8347,1,"35-40","Very Good","OR"
"17594",1,"M",130,793,17,0,"Married","Truck",6120,5,"28-34","Very Good","CT"
"17595",0,"M",118,689,20,1,"Married","Van",9906,8,">40","Good","CT"
"17596",1,"M",161,588,5,1,"Married","Truck",14455,7,"35-40","Fair","NY"
"17597",0,"M",135,745,23,0,"Single","Utility",7896,6,">40","Very Good","CT"
"17598",0,"F",120,682,13,0,"Married","Car",15333,7,">40","Good","OR"
"17599",1,"M",281,650,2,2,"Single","Utility",64506,7,"18-27","Fair","SC"
